1,0.0861,45.2292, 6.70,A,,
5,0.1044,58.4367, 5.96,G,,
7,0.1074,64.1961, 5.59,B,,
8,0.1102,29.0214, 6.13,K,,
15,0.1398,29.0906, 2.06,B,,
17,0.1447,36.6267, 6.19,F,,
20,0.1556,79.7147, 6.01,A,,
21,0.1530,59.1497, 2.27,F,Beta Cassiopeiae,
27,0.1720,46.0722, 5.03,F,,
28,0.1749,57.1656, 6.74,B,,
36,0.1997,48.1525, 6.16,K,,
38,0.2140,37.6933, 6.73,B,,
40,0.2233,26.9872, 6.30,G,,
41,0.2252,41.0353, 5.72,F,,
44,0.2340,33.2061, 6.25,A,,
52,0.2519,31.5358, 6.45,K,,
53,0.2529,27.2831, 6.35,A,,
55,0.2706,76.9508, 6.35,B,,
56,0.2727,43.5947, 6.15,A,,
60,0.2825,61.5333, 5.74,G,,
62,0.2859,47.9475, 5.89,B,,
63,0.2849,38.6817, 4.61,A,,
65,0.2953,51.4331, 6.14,O,,
68,0.3055,36.7853, 4.52,A,,
70,0.3117,43.7911, 6.11,B,,
71,0.3106,31.5172, 5.87,A,,
75,0.3282,40.7297, 6.33,K,,
76,0.3348,48.8653, 6.52,A,,
78,0.3401,30.9358, 5.90,B,,
79,0.3460,32.9114, 5.79,K,,
82,0.3520,37.9686, 5.18,F,,
90,0.4006,38.5772, 7.39,S,,
91,0.4043,52.0200, 5.57,B,,
93,0.4132,61.8311, 5.40,B,,
96,0.4184,53.0469, 5.74,B,,
104,0.4705,44.3944, 5.17,A,,
110,0.4824,36.9000, 6.26,G,,
112,0.5153,77.0194, 6.21,K,,
113,0.5055,59.9772, 5.94,B,,
114,0.5020,29.7517, 5.23,A,,
121,0.5237,66.5194, 6.18,B,,
122,0.5238,33.5817, 5.87,K,,
123,0.5296,54.5222, 4.73,B,,
124,0.5281,52.8394, 5.60,K,,
128,0.5408,43.4947, 6.70,A,,
129,0.5554,70.9817, 6.42,A,,
130,0.5500,62.9317, 4.16,B,,
133,0.5429,27.5806, 6.67,A,,
134,0.5470,28.2803, 6.30,K,,
135,0.5529,54.8950, 5.93,K,,
137,0.5736,66.7503, 6.48,B,,
144,0.6023,54.1686, 5.08,B,,
146,0.6076,60.3261, 5.79,A,,
149,0.6056,27.2547, 6.50,B,,
152,0.6129,44.4886, 5.13,K,,
153,0.6162,53.8969, 3.66,B,,
154,0.6147,33.7194, 4.36,B,,
157,0.6225,35.3994, 5.48,G,,
158,0.6631,82.4939, 6.40,F,,
163,0.6426,29.3117, 4.37,G,,
164,0.6528,49.3544, 5.43,K,,
165,0.6555,30.8608, 3.27,K,,
168,0.6751,56.5372, 2.23,K,,
175,0.6853,39.4586, 5.33,G,,
177,0.7009,66.1475, 5.83,G,,
179,0.7011,50.5125, 4.80,B,,
181,0.7086,58.7533, 6.17,B,,
184,0.7245,47.0247, 4.94,A,,
189,0.7407,47.8642, 5.67,B,,
192,0.7608,74.9881, 5.66,A,,
193,0.7454,48.2844, 4.54,B,,
196,0.7548,55.2217, 5.42,A,,
200,0.7775,69.3250, 6.33,F,,
204,0.7709,55.3053, 6.52,A,,
205,0.7697,44.8614, 6.05,B,,
207,0.7784,59.5744, 6.39,G,,
208,0.7961,74.8475, 5.41,B,,
212,0.8025,72.6750, 5.87,K,,
219,0.8183,57.8158, 3.44,F,,
223,0.8139,50.9683, 4.89,B,,
226,0.8302,41.0789, 4.53,B,,
230,0.8313,27.7108, 7.0 ,F,,
231,0.8314,27.7103, 7.1 ,F,,
233,0.8454,64.2475, 5.39,G,,
234,0.8384,45.0022, 6.15,A,,
237,0.8546,61.8058, 6.07,K,,
238,0.8493,51.5081, 6.39,F,,
240,0.9148,83.7072, 5.62,A,,
241,0.8594,51.5711, 6.21,B,,
244,0.8845,61.1242, 4.82,F,,
246,0.8815,38.5486, 6.69,A,,
249,0.8912,37.4181, 6.06,K,,
250,0.8966,52.6892, 6.27,A,,
253,0.9167,58.9728, 4.83,K,,
256,0.9181,48.6786, 6.27,M,,
259,0.9207,24.5569, 6.20,M,,
260,0.9369,57.9967, 6.21,K,,
261,0.9488,68.7761, 6.37,F,,
262,0.9329,27.2094, 6.09,A,,
264,0.9451,60.7167, 2.47,B,,
265,0.9444,59.1811, 4.63,G,,
266,0.9464,60.3628, 5.55,B,,
269,0.9459,38.4994, 3.87,A,,
272,0.9610,45.8397, 6.12,K,,
273,0.9753,66.3522, 5.97,A,,
274,0.9639,28.9922, 5.42,G,,
275,0.9706,33.9508, 5.98,K,,
278,1.0086,70.9831, 6.39,A,,
282,1.0009,44.7111, 6.84,A,,
283,1.0010,44.7133, 6.04,B,,
285,1.1458,86.2569, 4.25,K,,
286,1.5640,89.0156, 6.46,A,,
287,1.0384,51.0350, 6.47,A,,
289,1.0504,47.3761, 6.45,A,,
290,1.0484,41.3450, 5.98,A,,
291,1.0470,31.8044, 5.50,B,,
292,1.0603,61.0750, 5.92,F,,
297,1.0721,61.5803, 5.84,F,,
298,1.0673,52.5022, 5.99,K,,
302,1.0797,51.0100, 6.54,B,,
303,1.0743,29.6586, 6.19,F,,
305,1.0768,39.9911, 6.72,F,,
306,1.2704,87.1453, 6.25,K,,
309,1.1063,62.7617, 6.54,A,,
312,1.1534,80.0117, 6.29,G,,
316,1.1167,56.9350, 6.43,K,,
318,1.1193,53.4983, 6.38,K,,
321,1.1379,54.9203, 5.17,G,,
324,1.1336,43.9419, 5.03,A,,
326,1.1426,58.2636, 5.79,B,,
327,1.1337,32.0122, 6.25,F,,
333,1.2046,79.6739, 5.64,A,,
335,1.1584,47.2419, 4.25,B,,
336,1.1776,68.7786, 5.29,A,,
337,1.1622,35.6206, 2.06,M,,
340,1.1719,42.0814, 5.65,F,,
341,1.1721,25.4578, 5.80,K,,
342,1.1904,64.2028, 5.55,B,,
343,1.1851,55.1497, 4.33,A,,
345,1.1948,65.0189, 5.57,B,,
348,1.1862,37.7242, 5.81,B,,
349,1.1852,31.4247, 5.16,F,,
352,1.1943,30.0897, 4.51,K,,
354,1.2194,61.7058, 6.41,B,,
355,1.2094,45.3378, 6.11,M,,
356,1.2165,30.0642, 6.19,G,,
357,1.2752,79.9100, 6.26,F,,
360,1.2291,24.5836, 4.65,K,,
363,1.2347,28.5297, 6.43,S,,
365,1.2700,71.7439, 7.83,K,,
369,1.2735,48.0822, 6.61,B,,
371,1.2719,33.1147, 6.02,K,,
372,1.2847,44.9019, 6.34,K,,
374,1.2900,31.7447, 6.73,K,,
375,1.3387,77.5706, 6.31,G,,
376,1.3028,47.4197, 6.25,K,,
379,1.3131,37.3861, 6.46,A,,
381,1.3664,76.2389, 6.38,F,,
382,1.3347,58.2317, 4.98,F,,
383,1.3244,27.2642, 4.76,A,,
384,1.3514,64.6583, 6.34,A,,
386,1.3963,78.7258, 6.07,A,,
389,1.3521,28.7381, 5.23,K,,
390,1.3723,45.5289, 4.88,K,,
391,1.3893,58.1431, 6.45,F,,
395,1.3946,37.7150, 5.58,A,,
396,1.3938,34.2458, 6.29,G,,
398,1.4296,70.9800, 6.49,A,,
399,1.4322,68.1300, 4.74,K,,
403,1.4303,60.2353, 2.68,A,,
407,1.4266,23.5117, 6.18,F,,
409,1.4385,43.4578, 5.96,F,,
410,1.4358,34.5797, 6.31,F,,
415,1.4517,34.3775, 6.27,F,,
417,1.4609,45.4067, 4.83,F,,
418,1.4574,41.1006, 6.46,A,,
422,1.4631,40.3356, 6.60,A,,
424,2.5302,89.2642, 2.02,F,Polaris,Little Dipper
427,1.5205,70.2647, 5.81,F,,
428,1.5145,66.0981, 6.14,A,,
430,1.5017,47.0072, 5.27,K,,
438,1.5354,34.8000, 6.39,B,,
439,1.5572,58.3275, 5.70,K,,
442,1.5655,59.2319, 4.71,G,,
446,1.5713,37.2372, 5.88,B,,
449,1.6229,74.3008, 6.58,B,,
452,1.5979,41.0764, 6.38,K,,
454,1.6076,48.7228, 5.92,K,,
456,1.6419,73.0400, 5.28,G,,
458,1.6133,41.4056, 4.09,F,,
461,1.6354,57.9775, 5.56,G,,
464,1.6332,48.6283, 3.57,K,,
465,1.6421,45.4000, 6.36,B,,
469,1.6558,44.3861, 4.98,G,,
470,1.6703,53.8683, 6.39,K,,
476,1.6777,43.2978, 5.61,A,,
477,1.6763,40.5769, 4.94,B,,
478,1.7057,68.0431, 5.59,A,,
480,1.7155,70.6225, 5.18,B,,
481,1.7008,61.0383, 6.71,B,,
482,1.7049,58.6278, 6.37,B,,
483,1.6964,42.6136, 4.95,G,,
484,1.6884,25.7458, 6.17,F,,
485,1.6942,30.0472, 5.99,K,,
488,1.7162,61.4217, 6.34,B,,
490,1.7010,35.2456, 5.64,B,,
491,1.7221,60.5511, 5.78,B,,
493,1.7083,20.2686, 5.24,K,,
495,1.7213,45.3222, 6.34,K,,
496,1.7277,50.6886, 4.07,B,,
499,1.7383,57.5364, 6.21,A,,
502,1.7461,57.0892, 6.25,A,,
503,1.7306,32.1917, 6.34,G,,
504,1.7407,46.1397, 6.35,K,,
508,1.7488,20.0831, 6.27,G,,
511,1.7958,63.8522, 5.63,K,,
518,1.7967,46.2297, 6.32,F,,
521,1.8108,37.9528, 5.94,K,,
523,1.8116,32.6903, 5.79,F,,
526,1.8210,47.8969, 5.82,A,,
529,1.8492,51.9333, 5.90,F,,
530,1.8357,22.2753, 5.86,K,,
533,1.8665,55.1475, 5.52,B,,
536,1.8693,50.7928, 5.79,B,,
538,1.8808,51.4747, 6.26,A,,
540,1.8968,55.5981, 6.45,A,,
542,1.9066,63.6700, 3.38,B,,
543,1.8881,40.7297, 5.40,K,,
544,1.8847,29.5789, 3.41,F,,
545,1.8922,19.2958, 4.83,B,,
546,1.8922,19.2936, 4.75,A,,
548,1.9333,68.6853, 4.99,B,,
551,1.9149,40.7019, 6.24,K,,
552,1.9160,37.1283, 6.26,K,,
553,1.9107,20.8081, 2.64,A,,
556,1.9318,37.2778, 5.89,M,,
557,1.9359,37.2517, 5.67,K,,
559,1.9308,23.5772, 5.74,K,,
561,1.9759,61.6981, 6.02,B,,
562,1.9657,41.6944, 6.78,B,,
563,1.9559,17.8175, 5.10,K,,
564,1.9622,27.8044, 5.82,M,,
567,1.9939,64.6214, 5.26,A,,
568,1.9760,49.2042, 5.69,K,,
569,1.9655,23.5961, 4.79,F,,
572,2.0492,77.9164, 6.04,K,,
575,2.0326,70.9069, 4.54,A,,
577,1.9932,21.0583, 5.87,K,,
579,2.0529,73.8506, 6.23,A,,
580,2.0572,72.4214, 3.98,A,,
581,2.0854,77.2814, 5.38,F,,
586,2.0480,64.9014, 6.00,A,,
589,2.0501,64.3900, 5.58,B,,
590,2.0384,54.4875, 5.04,B,,
592,2.0920,76.1150, 5.22,G,,
597,2.1570,81.2958, 6.05,A,,
598,2.0778,65.1033, 6.52,A,,
599,2.0494,33.2839, 5.50,A,,
603,2.0650,42.3297, 2.26,K,,
604,2.0652,42.3308, 4.84,B,,
605,2.0609,25.9356, 5.63,F,,
609,2.0618,18.2533, 6.21,K,,
613,2.1094,22.6483, 5.03,A,,
615,2.1137,25.7047, 6.15,B,,
617,2.1196,23.4625, 2.00,K,,
618,2.1446,58.4236, 5.67,A,,
619,2.1427,44.4594, 6.42,G,,
620,2.1415,37.8592, 4.82,A,,
621,2.1688,53.8431, 6.31,G,,
622,2.1591,34.9872, 3.00,A,,
623,2.1570,25.9397, 4.98,F,,
624,2.1564,17.2244, 6.43,F,,
626,2.2226,74.0278, 6.29,G,,
627,2.1914,57.6458, 6.36,B,,
628,2.1813,39.0394, 5.63,B,,
629,2.1816,39.0431, 6.10,A,,
631,2.1771,19.5003, 5.70,M,,
633,2.1867,25.9369, 6.02,K,,
634,2.1903,31.5264, 6.23,A,,
640,2.2414,66.5244, 6.07,G,,
641,2.2282,58.5611, 6.44,A,,
642,2.2062,30.3031, 4.94,G,,
643,2.2204,44.2317, 4.83,K,,
644,2.2104,24.1678, 5.96,K,,
645,2.2268,51.0658, 5.31,G,,
646,2.2134,21.2108, 5.27,F,,
647,2.2341,47.4842, 6.06,F,,
648,2.2176,15.2797, 5.71,M,,
653,2.2661,47.8114, 6.33,G,,
654,2.2810,57.0553, 6.48,B,,
655,2.2656,33.3589, 5.28,A,,
656,2.2628,25.7831, 5.79,F,,
657,2.2619,25.0431, 5.58,F,,
660,2.2842,34.2242, 4.87,G,,
661,2.3000,57.8997, 5.75,K,,
662,2.3013,57.5167, 5.98,G,,
663,2.2926,44.3069, 6.7 ,M,,
664,2.2886,33.8472, 4.01,A,,
665,2.2862,23.7678, 6.55,G,,
668,2.3369,64.3372, 6.60,B,,
669,2.3021,19.9011, 5.62,A,,
670,2.3213,47.3800, 5.30,A,,
671,2.3197,46.4725, 6.21,A,,
673,2.3230,48.9553, 6.37,F,,
675,2.3158,28.6425, 5.03,A,,
676,2.3161,23.1678, 6.46,A,,
677,2.3270,39.8350, 6.63,B,,
679,2.3448,47.3108, 6.11,B,,
680,2.3346,30.1883, 6.47,K,,
682,2.3495,50.1514, 5.59,B,,
685,2.3726,55.8456, 5.17,A,,
687,2.3806,41.3964, 5.82,F,,
690,2.3977,55.3644, 6.28,F,,
694,2.4069,50.0067, 5.19,G,,
696,2.4211,56.6100, 6.25,B,,
699,2.4271,50.2786, 4.71,K,,
707,2.4844,67.4025, 4.52,A,,
709,2.4644,50.5697, 6.12,F,,
711,2.4519,27.0133, 6.18,K,,
712,2.4577,31.8014, 5.54,K,,
716,2.4903,55.5364, 6.51,A,,
717,2.4694,29.6694, 5.29,F,,
720,2.4801,29.9319, 5.89,G,,
723,2.4871,23.4689, 6.19,A,,
726,2.5046,33.8339, 6.25,K,,
728,2.5090,25.2350, 5.92,F,,
729,2.5107,19.8553, 6.15,A,,
731,2.5151,17.7039, 6.23,G,,
736,2.5351,36.1472, 5.15,K,,
738,2.5479,34.5425, 5.83,K,,
741,2.5484,15.0347, 6.04,F,,
743,2.6339,72.8183, 5.16,G,,
746,2.5911,39.6644, 6.36,B,,
747,2.6267,65.7456, 5.78,K,,
748,2.5941,37.3122, 5.71,K,,
750,2.5963,34.6875, 5.35,M,,
756,2.6159,38.7328, 5.90,F,,
757,2.6119,31.6075, 6.10,K,,
758,2.6174,34.2639, 5.3 ,M,,
760,2.6224,39.8958, 6.54,B,,
761,2.6184,32.8919, 6.25,F,,
763,2.6105,12.4475, 5.68,F,,
764,2.6160,24.6483, 7.09,F,,
765,2.6168,24.6475, 6.50,F,,
768,2.6383,37.7267, 6.18,F,,
769,2.6411,38.0894, 6.30,B,,
770,2.6336,7.6953, 6.39,F,,
773,2.6469,21.9614, 5.43,A,,
774,2.7966,81.4483, 5.78,G,,
782,2.6781,27.0608, 5.30,A,,
785,2.7174,55.1058, 5.77,B,,
787,2.7166,53.5261, 5.84,K,,
788,2.7041,40.1939, 4.91,F,,
791,2.7471,67.8247, 5.95,A,,
792,2.7172,48.2656, 6.48,G,,
793,2.7061,20.0117, 5.69,A,,
797,2.7080,10.7417, 6.30,A,,
799,2.7367,49.2283, 4.12,F,,
800,2.7348,44.2969, 5.43,G,,
801,2.7242,27.7072, 4.66,B,,
803,2.7309,25.6381, 6.35,A,,
808,2.7386,17.7639, 6.46,K,,
809,2.7425,15.3117, 5.77,B,,
812,2.7493,12.4458, 5.18,A,,
813,2.7490,10.1142, 4.27,F,,
815,2.8154,69.6342, 6.18,A,,
819,2.7829,35.9836, 6.25,G,,
820,2.7843,35.5550, 6.30,A,,
824,2.7985,29.2472, 4.51,K,,
825,2.8252,57.0842, 6.25,A,,
828,2.8089,18.2836, 5.82,K,,
829,2.8663,68.8886, 5.80,F,,
830,2.8127,25.1881, 5.86,A,,
831,2.8242,37.3261, 6.45,F,,
834,2.8449,55.8956, 3.76,K,,
836,2.8215,17.4642, 5.22,B,,
838,2.8331,27.2606, 3.63,B,,
839,2.8626,58.3147, 6.45,A,,
840,2.8431,38.3186, 4.23,F,,
842,2.8616,46.8419, 5.88,G,,
843,2.8586,35.0597, 4.53,K,,
846,2.8811,52.9978, 6.36,B,,
847,2.8582,15.0819, 5.49,B,,
849,2.8892,48.5694, 6.26,G,,
854,2.9043,52.7625, 3.95,G,,
855,2.8952,38.3375, 5.33,F,,
856,2.8866,16.4833, 6.31,F,,
860,2.9325,61.5211, 5.59,F,,
861,2.9402,64.3325, 6.24,K,,
864,2.9474,51.2608, 6.22,K,,
865,2.9426,47.1639, 6.02,K,,
867,2.9301,18.3317, 5.91,M,,
869,2.9406,18.0231, 5.63,F,,
870,2.9372,8.3817, 5.97,F,,
873,2.9548,31.9342, 5.11,B,,
876,2.9673,38.6150, 6.04,K,,
877,2.9513,4.5011, 6.11,M,,
878,2.9681,20.6686, 5.80,F,,
879,2.9794,39.6628, 4.70,A,,
881,3.1022,79.4186, 5.49,M,,
882,2.9844,35.1831, 4.93,K,,
885,2.9972,47.2208, 5.47,G,,
886,2.9944,41.0331, 5.89,K,,
887,2.9869,21.3403, 4.63,A,,
888,2.9869,21.3403, 4.63,A,,
890,3.0145,52.3517, 5.28,B,,
891,3.0148,52.3522, 6.74,B,,
894,3.0033,38.1317, 6.11,B,,
896,2.9952,8.9075, 4.70,B,,
902,3.0122,10.8703, 5.95,K,,
905,3.0317,26.4622, 5.90,A,,
906,3.1952,81.4706, 5.95,A,,
908,3.0312,5.3361, 6.25,K,,
910,3.0396,4.3528, 5.61,B,,
911,3.0380,4.0897, 2.53,M,,
915,3.0799,53.5064, 2.93,G,,
916,3.0584,28.2697, 6.36,F,,
918,3.0923,56.7058, 4.76,G,,
920,3.0944,56.0686, 6.11,G,,
921,3.0863,38.8403, 3.39,M,,
922,3.1219,64.0578, 5.89,B,,
923,3.0891,40.5825, 6.05,K,,
924,3.0780,15.8561, 6.49,K,,
926,3.0773,1.8636, 6.05,K,,
927,3.0908,25.2553, 6.8 ,B,,
928,3.0908,25.2553, 7.0 ,B,,
930,3.1344,52.2133, 6.31,B,,
931,3.1066,13.1872, 5.62,K,,
932,3.1990,74.3936, 4.87,A,,
933,3.1298,47.3083, 6.41,A,,
936,3.1361,40.9556, 2.12,B,,
937,3.1511,49.6133, 4.05,G,,
938,3.1238,17.8800, 6.11,B,,
940,3.1392,18.7950, 6.27,M,,
941,3.1583,44.8572, 3.80,K,,
942,3.1441,8.4708, 6.28,G,,
944,3.1602,29.0769, 5.72,B,,
945,3.1691,27.8200, 6.42,A,,
946,3.1742,26.8964, 6.02,K,,
947,3.1882,39.6117, 4.63,K,,
948,3.1775,11.8725, 5.98,B,,
949,3.2073,47.7258, 6.33,K,,
950,3.2027,42.3761, 6.15,B,,
951,3.1938,19.7267, 4.35,K,,
952,3.1894,13.0478, 6.12,K,,
954,3.2039,27.2569, 5.79,B,,
956,3.2233,48.1769, 5.90,G,,
958,3.2073,6.6608, 5.56,K,,
961,3.3388,77.7347, 5.45,A,,
964,3.2633,57.1408, 5.79,A,,
965,3.5389,84.9111, 5.61,G,,
966,3.2491,42.5039, 6.07,K,,
967,3.2921,65.6586, 6.36,A,,
969,3.2701,50.9378, 5.03,G,,
971,3.2557,30.5567, 5.52,A,,
972,3.2484,21.0444, 4.89,A,,
973,3.2680,45.3458, 6.16,M,,
975,3.2631,32.8564, 6.31,F,,
976,3.2672,34.6886, 6.25,A,,
978,3.2764,32.1836, 6.06,G,,
979,3.2865,40.4833, 6.45,B,,
982,3.2965,44.0250, 5.47,B,,
985,3.3332,65.6522, 4.84,B,,
986,3.2961,39.2833, 5.96,A,,
987,3.3105,50.2222, 5.15,B,,
989,3.3188,50.0950, 5.03,B,,
991,3.3122,34.2228, 4.82,K,,
995,3.3322,27.0711, 5.90,G,,
999,3.3390,29.0483, 4.47,K,,
1000,3.3404,25.6628, 6.12,K,,
1001,3.3646,49.0708, 5.93,F,,
1002,3.3574,43.3294, 4.95,A,,
1005,3.3538,21.1469, 5.28,B,,
1009,3.4112,64.5861, 5.23,M,,
1011,3.3870,49.2133, 5.29,B,,
1012,3.3700,27.6075, 5.52,G,,
1015,3.3792,20.7419, 5.09,K,,
1017,3.4054,49.8611, 1.79,F,,
1019,3.4082,33.5358, 5.61,A,,
1020,3.4301,53.9217, 6.51,A,,
1022,3.4051,24.7242, 5.50,K,,
1026,3.4193,41.2572, 6.51,A,,
1027,3.4072,20.8036, 6.08,A,,
1028,3.4028,12.6294, 6.04,K,,
1029,3.4326,49.1208, 6.09,B,,
1030,3.4136,9.0289, 3.60,G,,
1032,3.5054,71.8639, 6.32,M,,
1033,3.4732,60.2556, 6.49,B,,
1034,3.4675,49.0628, 4.98,B,,
1035,3.4845,59.9403, 4.21,B,,
1036,3.4509,18.7564, 6.57,A,,
1037,3.4812,49.8483, 5.58,B,,
1038,3.4528,9.7328, 3.74,B,,
1039,3.4552,12.7350, 6.28,A,,
1040,3.4986,58.8786, 4.54,A,,
1041,3.4724,33.8075, 5.61,A,,
1043,3.5031,59.3661, 6.13,A,,
1044,3.4895,49.5089, 4.67,B,,
1046,3.5001,55.4519, 5.09,A,,
1047,3.4906,46.9378, 6.24,B,,
1048,3.4741,22.8042, 6.03,K,,
1051,3.5103,48.1036, 5.82,B,,
1052,3.5096,47.9953, 4.36,K,,
1055,3.5868,73.3469, 6.57,A,,
1056,3.5248,49.2097, 6.29,A,,
1059,3.5303,49.4008, 6.39,B,,
1061,3.5068,11.3364, 5.14,A,,
1063,3.5357,48.0236, 5.47,B,,
1065,3.5224,27.5719, 5.96,A,,
1066,3.5146,12.9367, 4.11,K,,
1068,3.5589,58.7650, 6.40,A,,
1069,3.5406,46.0569, 5.31,F,,
1071,3.5614,57.8689, 6.37,F,,
1072,3.5442,44.8556, 6.41,B,,
1073,3.5608,54.9747, 5.98,A,,
1074,3.5444,35.4617, 5.90,B,,
1077,3.5836,60.0411, 6.46,F,,
1078,3.5597,39.8994, 5.81,A,,
1080,3.6569,75.7397, 6.27,G,,
1085,3.5690,17.8328, 6.17,K,,
1086,3.5741,24.4644, 5.92,A,,
1087,3.6082,48.1928, 4.23,B,,
1094,3.6388,56.9328, 6.30,B,,
1097,3.6334,42.5831, 6.42,B,,
1102,3.6299,15.4308, 6.39,A,,
1103,3.6500,20.9158, 6.50,A,,
1105,3.7026,63.2167, 5.10,S,,
1107,4.1671,86.6261, 5.86,F,,
1110,3.6571,16.5367, 6.16,K,,
1112,3.7119,59.9694, 5.76,K,,
1113,3.6855,37.5800, 5.57,B,,
1118,3.6795,25.3294, 6.11,A,,
1122,3.7154,47.7875, 3.01,B,,
1123,3.7063,33.9650, 4.97,B,,
1124,3.7669,67.2017, 5.80,F,,
1126,3.7053,19.7003, 5.69,B,,
1127,3.7351,48.5236, 6.06,K,,
1129,3.7673,63.3450, 4.80,G,,
1130,3.7447,46.0997, 6.11,A,,
1131,3.7386,32.2883, 3.83,B,,
1132,3.7298,19.6650, 6.14,G,,
1133,3.7421,36.4600, 5.59,A,,
1135,3.7532,42.5786, 3.77,F,,
